image,class_id,class_name,confidence,cx_px,cy_px,w_mm,h_mm,short_mm,long_mm,angle_deg,box_index,size_label
2feb3dcf-IMG_3443.JPEG,1,Porca,0.9496450424194336,969.5017700195312,617.2968139648438,13.01,12.19,12.19,13.01,0.0,1,
2feb3dcf-IMG_3443.JPEG,0,Parafuso,0.9388576745986938,1220.646728515625,471.7743835449219,27.98,11.54,11.54,27.98,0.0,2,SHORTEST
2feb3dcf-IMG_3443.JPEG,0,Parafuso,0.9259048104286194,868.5792236328125,400.2245178222656,11.06,36.64,11.06,36.64,0.83,3,LONGEST
3aa979b8-IMG_3312.JPEG,1,Porca,0.9571130871772766,1299.7938232421875,964.50390625,19.32,18.95,18.95,19.32,0.01,0,
3aa979b8-IMG_3312.JPEG,1,Porca,0.9456403255462646,948.25732421875,642.9945678710938,23.49,18.91,18.91,23.49,0.0,1,
3aa979b8-IMG_3312.JPEG,0,Parafuso,0.9450680017471313,847.5455322265625,1090.9947509765625,51.52,17.27,17.27,51.52,1.22,2,LONGEST
3aa979b8-IMG_3312.JPEG,0,Parafuso,0.9378427863121033,1546.054443359375,655.79052734375,45.23,23.25,23.25,45.23,0.68,3,SHORTEST
3b7d8e09-IMG_3472.JPG,1,Porca,0.9494640827178955,2046.1385498046875,1309.58154296875,42.7,35.57,35.57,42.7,0.01,0,
3b7d8e09-IMG_3472.JPG,1,Porca,0.943456768989563,1127.0692138671875,1097.030029296875,29.77,36.43,29.77,36.43,1.57,1,
3b7d8e09-IMG_3472.JPG,0,Parafuso,0.9348773956298828,1494.9013671875,1112.003173828125,36.13,82.84,36.13,82.84,0.83,2,SHORTEST
3b7d8e09-IMG_3472.JPG,0,Parafuso,0.8985427021980286,2554.841064453125,1446.863525390625,42.34,146.19,42.34,146.19,0.66,3,LONGEST
3b8ef5e4-IMG_3379.JPEG,0,Parafuso,0.9400602579116821,818.1870727539062,507.087646484375,18.39,49.17,18.39,49.17,0.12,0,LONGEST
3b8ef5e4-IMG_3379.JPEG,0,Parafuso,0.9369664192199707,1175.110595703125,426.74493408203125,37.6,19.42,19.42,37.6,1.56,1,SHORTEST
3bdc34e9-IMG_3222.JPEG,0,Parafuso,0.9387068152427673,525.1266479492188,305.6784362792969,57.17,24.53,24.53,57.17,1.51,0,SHORTEST
3bdc34e9-IMG_3222.JPEG,0,Parafuso,0.8648068904876709,1283.943115234375,1028.1094970703125,90.66,30.07,30.07,90.66,1.5,1,LONGEST
3fc3b6c8-IMG_3395.JPEG,1,Porca,0.9592108726501465,1188.6783447265625,690.7356567382812,18.48,16.42,16.42,18.48,0.01,0,
3fc3b6c8-IMG_3395.JPEG,0,Parafuso,0.9365429878234863,1187.7890625,392.6110534667969,16.16,34.43,16.16,34.43,1.56,1,ONLY
4c67f8b1-IMG_2982.JPEG,1,Porca,0.9446266889572144,583.8563842773438,343.9571838378906,16.93,16.66,16.66,16.93,0.0,0,
4c67f8b1-IMG_2982.JPEG,0,Parafuso,0.9420810341835022,545.7406616210938,774.2509765625,49.29,15.76,15.76,49.29,0.18,1,LONGEST
4c67f8b1-IMG_2982.JPEG,0,Parafuso,0.928587019443512,616.0692138671875,529.8639526367188,17.47,46.86,17.47,46.86,1.23,2,IN-BETWEEN
4c67f8b1-IMG_2982.JPEG,0,Parafuso,0.9284417629241943,880.55810546875,151.81361389160156,30.34,15.42,15.42,30.34,1.55,3,SHORTEST
4c67f8b1-IMG_2982.JPEG,1,Porca,0.9265004992485046,1155.8043212890625,593.3864135742188,15.39,17.17,15.39,17.17,0.02,4,
4c67f8b1-IMG_2982.JPEG,1,Porca,0.9238513112068176,1095.5360107421875,256.691162109375,18.02,16.78,16.78,18.02,0.01,5,
4c67f8b1-IMG_2982.JPEG,0,Parafuso,0.9191234111785889,1073.466796875,704.70703125,46.41,14.42,14.42,46.41,1.02,6,IN-BETWEEN
4c67f8b1-IMG_2982.JPEG,1,Porca,0.9091272354125977,719.748291015625,945.4071655273438,20.83,15.73,15.73,20.83,0.0,7,
4c67f8b1-IMG_2982.JPEG,1,Porca,0.8965616226196289,744.6986694335938,1093.8038330078125,16.22,20.3,16.22,20.3,1.57,8,
4cb48896-IMG_3468.JPEG,1,Porca,0.9579853415489197,945.0914916992188,889.7735595703125,22.34,21.12,21.12,22.34,0.01,0,
4cb48896-IMG_3468.JPEG,0,Parafuso,0.9415900707244873,1347.4635009765625,779.6901245117188,50.6,21.69,21.69,50.6,1.49,1,ONLY
4cf20f45-IMG_3310.JPEG,1,Porca,0.959740936756134,872.5592651367188,980.6611328125,22.71,22.49,22.49,22.71,0.01,0,
4cf20f45-IMG_3310.JPEG,0,Parafuso,0.948651134967804,1345.2601318359375,1005.2080078125,22.68,49.38,22.68,49.38,0.18,1,SHORTEST
4cf20f45-IMG_3310.JPEG,1,Porca,0.9417692422866821,1134.2470703125,469.673095703125,16.94,20.11,16.94,20.11,0.0,2,
4cf20f45-IMG_3310.JPEG,0,Parafuso,0.9237578511238098,521.3236083984375,573.4570922851562,21.73,63.96,21.73,63.96,1.09,3,LONGEST
4d3131ef-IMG_3254.JPEG,1,Porca,0.947099506855011,610.52783203125,518.4494018554688,24.14,30.07,24.14,30.07,0.04,0,
4d3131ef-IMG_3254.JPEG,1,Porca,0.9342450499534607,1200.1201171875,893.9104614257812,37.79,29.19,29.19,37.79,0.01,1,
4ed78dfa-IMG_3426.JPEG,1,Porca,0.9593150019645691,601.0724487304688,1154.4217529296875,17.29,17.87,17.29,17.87,0.01,0,
4ed78dfa-IMG_3426.JPEG,0,Parafuso,0.9355150461196899,562.2964477539062,825.0299072265625,18.23,39.14,18.23,39.14,1.5,1,ONLY
4f133563-IMG_3260.JPEG,0,Parafuso,0.9386071562767029,509.0323181152344,641.6151733398438,32.92,66.08,32.92,66.08,0.31,0,SHORTEST
4f133563-IMG_3260.JPEG,0,Parafuso,0.9066572785377502,711.2251586914062,1220.9803466796875,27.63,89.88,27.63,89.88,1.16,1,LONGEST
