image,class_id,class_name,confidence,cx_px,cy_px,w_px,h_px,angle_rad,long_side_px,short_side_px,length_label
0bc4a5dd-IMG_3404.JPEG,0,Parafuso,0.9388905763626099,741.0199584960938,731.3585205078125,471.9145202636719,169.1720428466797,1.4490103721618652,471.9145202636719,169.1720428466797,LONGEST
0bc4a5dd-IMG_3404.JPEG,0,Parafuso,0.9387360215187073,1017.8287963867188,700.1027221679688,354.15289306640625,172.58360290527344,1.566015601158142,354.15289306640625,172.58360290527344,SHORTER
0cdc4eb5-IMG_3315.JPEG,1,Porca,0.9553187489509583,663.9300537109375,1401.5140380859375,229.87925720214844,230.50682067871094,1.5624544620513916,230.50682067871094,229.87925720214844,N/A
0cdc4eb5-IMG_3315.JPEG,1,Porca,0.9520046710968018,818.2691040039062,523.8370361328125,173.4471893310547,181.6630096435547,0.016926033422350883,181.6630096435547,173.4471893310547,N/A
0cdc4eb5-IMG_3315.JPEG,0,Parafuso,0.9395606517791748,1050.194091796875,977.3031616210938,546.1854248046875,197.8578643798828,1.0745198726654053,546.1854248046875,197.8578643798828,LONGEST
0cdc4eb5-IMG_3315.JPEG,0,Parafuso,0.9251344799995422,506.89825439453125,848.2205200195312,250.198974609375,414.96929931640625,0.8020893931388855,414.96929931640625,250.198974609375,SHORTER
0de6f8ec-IMG_3341.JPEG,1,Porca,0.937872588634491,1114.632080078125,299.26177978515625,242.7626495361328,202.32305908203125,0.02240179479122162,242.7626495361328,202.32305908203125,N/A
0de6f8ec-IMG_3341.JPEG,0,Parafuso,0.9287545680999756,649.48095703125,462.51806640625,288.27032470703125,571.3736572265625,1.1023998260498047,571.3736572265625,288.27032470703125,SHORTER
0de6f8ec-IMG_3341.JPEG,1,Porca,0.9212895035743713,465.9398498535156,982.5089721679688,399.6022033691406,301.52032470703125,0.0178447924554348,399.6022033691406,301.52032470703125,N/A
0de6f8ec-IMG_3341.JPEG,0,Parafuso,0.8732870221138,1253.9029541015625,841.9674682617188,296.5680236816406,1052.100830078125,1.5594767332077026,1052.100830078125,296.5680236816406,LONGEST
0ee18d0b-IMG_3298.JPEG,1,Porca,0.9499004483222961,1170.135498046875,76.49227905273438,164.13865661621094,137.4022979736328,0.0004777773574460298,164.13865661621094,137.4022979736328,N/A
0ee18d0b-IMG_3298.JPEG,1,Porca,0.946117103099823,1041.53857421875,349.47515869140625,187.5403594970703,214.7194366455078,0.008185132406651974,214.7194366455078,187.5403594970703,N/A
0ee18d0b-IMG_3298.JPEG,0,Parafuso,0.9336722493171692,793.7717895507812,138.89208984375,168.19358825683594,290.89678955078125,0.36183661222457886,290.89678955078125,168.19358825683594,SHORTER
0ee18d0b-IMG_3298.JPEG,0,Parafuso,0.9241300225257874,1578.495361328125,157.59805297851562,177.3240203857422,532.5676879882812,0.792267382144928,532.5676879882812,177.3240203857422,LONGEST
0f4228a2-IMG_3442.JPEG,1,Porca,0.9597263336181641,1249.704833984375,1152.428466796875,191.29336547851562,194.77816772460938,0.013849083334207535,194.77816772460938,191.29336547851562,N/A
0f4228a2-IMG_3442.JPEG,1,Porca,0.9594424962997437,822.1647338867188,724.74755859375,173.78125,154.2341766357422,0.011766075156629086,173.78125,154.2341766357422,N/A
0f4228a2-IMG_3442.JPEG,0,Parafuso,0.9403776526451111,514.9401245117188,554.5648803710938,152.8998565673828,434.3000183105469,0.0833275318145752,434.3000183105469,152.8998565673828,LONGEST
0f4228a2-IMG_3442.JPEG,0,Parafuso,0.9200785160064697,932.9069213867188,469.2099609375,142.18325805664062,298.98162841796875,1.0883599519729614,298.98162841796875,142.18325805664062,SHORTER
1a2bcb0a-IMG_3348.JPEG,1,Porca,0.9547796249389648,563.8007202148438,980.7335205078125,166.78001403808594,168.97840881347656,0.017852000892162323,168.97840881347656,166.78001403808594,N/A
1a2bcb0a-IMG_3348.JPEG,1,Porca,0.9531735777854919,748.7332763671875,571.5057373046875,169.10629272460938,157.0985870361328,0.0007520101498812437,169.10629272460938,157.0985870361328,N/A
1a2bcb0a-IMG_3348.JPEG,0,Parafuso,0.9403973817825317,441.5994567871094,696.7863159179688,159.74356079101562,354.5669860839844,1.0623588562011719,354.5669860839844,159.74356079101562,SHORTER
1a2bcb0a-IMG_3348.JPEG,0,Parafuso,0.9375864267349243,605.246337890625,1468.5093994140625,565.1146850585938,210.72947692871094,0.6954497694969177,565.1146850585938,210.72947692871094,LONGEST
1c2c8f19-IMG_3271.JPEG,1,Porca,0.962921679019928,856.5103759765625,596.251953125,265.9705505371094,249.77273559570312,0.020825400948524475,265.9705505371094,249.77273559570312,N/A
1c2c8f19-IMG_3271.JPEG,1,Porca,0.9627120494842529,1451.6541748046875,576.2444458007812,252.45327758789062,240.03762817382812,0.013887282460927963,252.45327758789062,240.03762817382812,N/A
1ca36804-IMG_2992.JPEG,1,Porca,0.9333328604698181,1091.5509033203125,475.9848327636719,133.94029235839844,122.42656707763672,0.01587226428091526,133.94029235839844,122.42656707763672,N/A
1ca36804-IMG_2992.JPEG,0,Parafuso,0.9317922592163086,1354.517822265625,579.302734375,357.386962890625,163.37847900390625,0.8856602907180786,357.386962890625,163.37847900390625,SHORTER
1ca36804-IMG_2992.JPEG,1,Porca,0.9288966059684753,1326.71923828125,210.0810546875,125.51580047607422,130.91421508789062,0.0011500174878165126,130.91421508789062,125.51580047607422,N/A
1ca36804-IMG_2992.JPEG,1,Porca,0.9286068677902222,1217.5435791015625,679.4522094726562,187.065673828125,169.25086975097656,0.020770253613591194,187.065673828125,169.25086975097656,N/A
1ca36804-IMG_2992.JPEG,0,Parafuso,0.9281659722328186,904.1044921875,458.59161376953125,163.068359375,458.8517150878906,1.152642011642456,458.8517150878906,163.068359375,LONGEST
