epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,262.655,0.5755,0.38505,1.28162,0.97331,0.96773,0.98986,0.84299,0.68607,0.38654,1.46727,0.00102337,0.00102337,0.00102337
80,265.794,0.54242,0.37191,1.29437,0.96516,0.9558,0.984,0.83676,0.69464,0.41273,1.45682,0.00101512,0.00101512,0.00101512
81,268.879,0.58497,0.39784,1.27195,0.97507,0.94397,0.98161,0.83948,0.70203,0.41344,1.50479,0.00100687,0.00100687,0.00100687
82,272.161,0.56249,0.38886,1.3445,0.97345,0.94724,0.98473,0.84294,0.69122,0.40418,1.50228,0.000998616,0.000998616,0.000998616
83,275.236,0.55919,0.3711,1.26063,0.97109,0.94956,0.98765,0.84043,0.68247,0.38677,1.54906,0.000990365,0.000990365,0.000990365
84,278.513,0.53049,0.35604,1.25416,0.98116,0.94272,0.98526,0.83457,0.68738,0.39833,1.46013,0.000982113,0.000982113,0.000982113
85,282.091,0.56111,0.37846,1.29587,0.9827,0.94794,0.98449,0.83639,0.6932,0.39959,1.39742,0.000973861,0.000973861,0.000973861
86,285.396,0.56879,0.3839,1.25788,0.98327,0.94543,0.9862,0.84848,0.67932,0.41111,1.37616,0.00096561,0.00096561,0.00096561
87,288.554,0.5441,0.38027,1.29774,0.95921,0.97144,0.98739,0.84645,0.67911,0.39198,1.4099,0.000957358,0.000957358,0.000957358
88,291.812,0.54768,0.37776,1.25644,0.97968,0.95954,0.98591,0.84754,0.67829,0.37636,1.45622,0.000949106,0.000949106,0.000949106
89,295.057,0.54979,0.37053,1.27137,0.98773,0.95704,0.98663,0.84528,0.69533,0.38278,1.44482,0.000940855,0.000940855,0.000940855
90,298.635,0.56583,0.37769,1.30467,0.98305,0.97417,0.98687,0.84715,0.67591,0.37244,1.43547,0.000932603,0.000932603,0.000932603
91,301.888,0.5205,0.3623,1.238,0.9684,0.9746,0.9869,0.84809,0.66537,0.36717,1.43828,0.000924352,0.000924352,0.000924352
92,305.166,0.52247,0.36884,1.27398,0.98942,0.9566,0.98993,0.84952,0.66946,0.36818,1.41979,0.0009161,0.0009161,0.0009161
93,308.37,0.53488,0.37305,1.2847,1,0.94269,0.99042,0.8442,0.68422,0.37256,1.43923,0.000907848,0.000907848,0.000907848
94,311.451,0.56087,0.38562,1.30351,0.95492,0.98361,0.98994,0.83577,0.69322,0.36756,1.42659,0.000899597,0.000899597,0.000899597
95,314.548,0.54631,0.36928,1.26718,0.96086,0.95878,0.98958,0.85214,0.65946,0.39013,1.41031,0.000891345,0.000891345,0.000891345
96,317.869,0.53783,0.36926,1.27186,0.97113,0.9516,0.98728,0.84775,0.68022,0.39734,1.46759,0.000883093,0.000883093,0.000883093
97,320.957,0.52277,0.36163,1.28669,0.98068,0.93733,0.98981,0.85762,0.65829,0.37945,1.41374,0.000874842,0.000874842,0.000874842
98,324.431,0.54205,0.3718,1.27422,0.9837,0.9434,0.99229,0.85837,0.64788,0.36947,1.41383,0.00086659,0.00086659,0.00086659
99,327.638,0.52804,0.36238,1.29392,0.97459,0.96355,0.99253,0.84822,0.67589,0.36876,1.4318,0.000858338,0.000858338,0.000858338
100,330.793,0.54712,0.37737,1.29214,0.97028,0.95954,0.99191,0.84689,0.68673,0.37477,1.4533,0.000850087,0.000850087,0.000850087
101,333.95,0.50978,0.35794,1.25632,0.99045,0.95122,0.98935,0.84435,0.67508,0.38095,1.48294,0.000841835,0.000841835,0.000841835
102,337.199,0.53753,0.3568,1.25947,0.9575,0.97366,0.9841,0.83177,0.68398,0.37779,1.47713,0.000833583,0.000833583,0.000833583
103,340.391,0.51566,0.35748,1.24724,0.97967,0.95355,0.98262,0.83793,0.67838,0.37809,1.49226,0.000825332,0.000825332,0.000825332
104,343.55,0.50925,0.34732,1.23263,0.98658,0.96293,0.98398,0.84632,0.65915,0.37864,1.45049,0.00081708,0.00081708,0.00081708
105,346.921,0.50269,0.36207,1.22901,0.98204,0.97567,0.98411,0.84641,0.6721,0.379,1.48396,0.000808828,0.000808828,0.000808828
106,350.348,0.52421,0.35025,1.26004,0.98193,0.96747,0.98521,0.83543,0.70085,0.38811,1.45597,0.000800577,0.000800577,0.000800577
107,353.967,0.55429,0.36378,1.30424,0.97918,0.96747,0.98846,0.83411,0.68628,0.39158,1.48978,0.000792325,0.000792325,0.000792325
108,357.228,0.52031,0.36221,1.27984,0.98002,0.96773,0.98554,0.83384,0.68846,0.39398,1.49407,0.000784073,0.000784073,0.000784073
109,360.482,0.51984,0.35769,1.25194,0.97269,0.96773,0.98633,0.83981,0.67711,0.3857,1.58769,0.000775822,0.000775822,0.000775822
110,363.814,0.50447,0.35928,1.31022,0.98203,0.96773,0.9875,0.8541,0.66361,0.38311,1.59751,0.00076757,0.00076757,0.00076757
111,367.042,0.50965,0.3517,1.25632,0.98006,0.96773,0.98443,0.84889,0.66555,0.38896,1.51575,0.000759318,0.000759318,0.000759318
112,370.325,0.51734,0.3538,1.25193,0.97707,0.96352,0.98155,0.8355,0.6879,0.40284,1.48716,0.000751067,0.000751067,0.000751067
113,373.82,0.52447,0.35309,1.29735,0.97565,0.9516,0.98088,0.8351,0.68711,0.40374,1.47241,0.000742815,0.000742815,0.000742815
114,377.195,0.50495,0.34254,1.27737,0.9589,0.97567,0.98425,0.83819,0.68915,0.3869,1.48755,0.000734564,0.000734564,0.000734564
115,380.422,0.48582,0.35127,1.25947,0.97141,0.96634,0.98517,0.84436,0.67567,0.38089,1.48427,0.000726312,0.000726312,0.000726312
116,383.698,0.50657,0.34971,1.25926,0.98222,0.96177,0.98615,0.85002,0.68858,0.37555,1.49214,0.00071806,0.00071806,0.00071806
117,386.96,0.50706,0.35086,1.3455,0.98908,0.96747,0.98639,0.84436,0.69166,0.38576,1.48825,0.000709809,0.000709809,0.000709809
118,390.064,0.49925,0.34669,1.25756,0.9804,0.9747,0.98411,0.83908,0.68339,0.39318,1.46329,0.000701557,0.000701557,0.000701557
119,393.273,0.48442,0.33778,1.24544,0.98208,0.97269,0.98384,0.83952,0.68442,0.40332,1.44409,0.000693305,0.000693305,0.000693305
120,396.467,0.51987,0.34137,1.2376,0.98353,0.97325,0.98404,0.84639,0.67959,0.39751,1.46128,0.000685054,0.000685054,0.000685054
121,399.593,0.47238,0.33389,1.21473,0.97351,0.96303,0.97965,0.84677,0.68255,0.39299,1.4736,0.000676802,0.000676802,0.000676802
122,402.744,0.50646,0.35603,1.2548,0.9882,0.9592,0.98562,0.84577,0.67922,0.37588,1.45747,0.00066855,0.00066855,0.00066855
123,405.819,0.4674,0.33312,1.25459,0.97669,0.97567,0.98207,0.83576,0.67651,0.38468,1.47154,0.000660299,0.000660299,0.000660299
124,408.999,0.50809,0.35918,1.20839,0.97523,0.96746,0.9818,0.84528,0.68504,0.39247,1.42465,0.000652047,0.000652047,0.000652047
125,412.434,0.49309,0.33732,1.2314,0.96588,0.96773,0.97829,0.8457,0.67747,0.38875,1.44329,0.000643795,0.000643795,0.000643795
126,415.823,0.4627,0.33401,1.20628,0.97521,0.96719,0.9827,0.84882,0.66088,0.38188,1.42271,0.000635544,0.000635544,0.000635544
127,419.034,0.47108,0.3407,1.21493,0.97511,0.9671,0.98422,0.85025,0.66181,0.37933,1.42298,0.000627292,0.000627292,0.000627292
128,422.493,0.48668,0.34045,1.27369,0.96733,0.97219,0.98569,0.84796,0.67962,0.36891,1.40801,0.00061904,0.00061904,0.00061904
129,425.686,0.50436,0.34306,1.27478,0.97413,0.96653,0.98651,0.84961,0.67785,0.37025,1.42938,0.000610789,0.000610789,0.000610789
130,428.982,0.45958,0.32939,1.22665,0.96744,0.96456,0.98551,0.85453,0.66174,0.38496,1.45879,0.000602537,0.000602537,0.000602537
131,432.167,0.47523,0.33767,1.26037,0.96779,0.96711,0.98967,0.84997,0.66328,0.37394,1.44102,0.000594286,0.000594286,0.000594286
132,435.427,0.48188,0.33342,1.22179,0.97433,0.97431,0.98711,0.84305,0.67264,0.37273,1.42834,0.000586034,0.000586034,0.000586034
133,438.728,0.49446,0.35209,1.27182,0.98789,0.96191,0.99053,0.8487,0.68893,0.3772,1.45978,0.000577782,0.000577782,0.000577782
134,442.106,0.49118,0.34264,1.25063,0.98188,0.97509,0.98691,0.85044,0.6804,0.37896,1.41065,0.000569531,0.000569531,0.000569531
135,445.404,0.47164,0.33203,1.25024,0.97312,0.97567,0.98679,0.85436,0.68019,0.37729,1.44029,0.000561279,0.000561279,0.000561279
136,448.705,0.48152,0.34197,1.23231,0.99111,0.95916,0.98698,0.85799,0.66761,0.37685,1.41398,0.000553027,0.000553027,0.000553027
137,451.945,0.48205,0.33466,1.22524,0.99148,0.95092,0.9866,0.85793,0.66888,0.38383,1.42097,0.000544776,0.000544776,0.000544776
138,455.125,0.44133,0.3197,1.22079,0.97541,0.96607,0.98613,0.85172,0.66803,0.37912,1.4489,0.000536524,0.000536524,0.000536524
139,458.321,0.48725,0.34358,1.22526,0.95871,0.9713,0.9862,0.85231,0.67616,0.37999,1.42627,0.000528272,0.000528272,0.000528272
