epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,100.897,0.71521,0.48054,1.26064,1,0.96823,0.99313,0.80427,0.85499,0.47465,1.44177,0.00103987,0.00103987,0.00103987
78,102.052,0.67538,0.45626,1.30029,0.99889,0.97974,0.99235,0.79428,0.85971,0.46927,1.44722,0.00103162,0.00103162,0.00103162
79,103.184,0.68562,0.45825,1.35251,0.99889,0.97974,0.99235,0.79428,0.85971,0.46927,1.44722,0.00102337,0.00102337,0.00102337
80,104.389,0.70902,0.46885,1.28277,1,0.97016,0.99167,0.79698,0.83957,0.45136,1.46437,0.00101512,0.00101512,0.00101512
81,105.338,0.64852,0.45038,1.25188,1,0.97016,0.99167,0.79698,0.83957,0.45136,1.46437,0.00100687,0.00100687,0.00100687
82,106.445,0.69136,0.46183,1.32088,1,0.97098,0.99235,0.79699,0.83169,0.44377,1.47403,0.000998616,0.000998616,0.000998616
83,107.852,0.69068,0.47368,1.29071,1,0.97098,0.99235,0.79699,0.83169,0.44377,1.47403,0.000990365,0.000990365,0.000990365
84,108.92,0.67306,0.44676,1.25837,0.99573,0.97801,0.99273,0.78918,0.85553,0.4488,1.459,0.000982113,0.000982113,0.000982113
85,109.902,0.71238,0.46435,1.31249,0.99573,0.97801,0.99273,0.78918,0.85553,0.4488,1.459,0.000973861,0.000973861,0.000973861
86,111.018,0.69823,0.47415,1.25647,0.99359,0.97858,0.99273,0.78466,0.88551,0.44865,1.47155,0.00096561,0.00096561,0.00096561
87,112.176,0.64977,0.44659,1.20839,0.99359,0.97858,0.99273,0.78466,0.88551,0.44865,1.47155,0.000957358,0.000957358,0.000957358
88,113.33,0.69569,0.46775,1.3438,0.99558,0.97411,0.99313,0.78942,0.86545,0.45014,1.47719,0.000949106,0.000949106,0.000949106
89,114.463,0.65745,0.46666,1.2765,0.99558,0.97411,0.99313,0.78942,0.86545,0.45014,1.47719,0.000940855,0.000940855,0.000940855
90,115.793,0.61996,0.43091,1.25171,1,0.96596,0.992,0.79134,0.83944,0.44646,1.4777,0.000932603,0.000932603,0.000932603
91,116.734,0.65436,0.45771,1.27553,1,0.96596,0.992,0.79134,0.83944,0.44646,1.4777,0.000924352,0.000924352,0.000924352
92,117.877,0.64674,0.44477,1.2391,1,0.96401,0.99235,0.78731,0.86108,0.45522,1.48874,0.0009161,0.0009161,0.0009161
93,118.841,0.6236,0.43729,1.29728,1,0.96401,0.99235,0.78731,0.86108,0.45522,1.48874,0.000907848,0.000907848,0.000907848
94,119.947,0.66062,0.44809,1.25154,1,0.97003,0.99235,0.78536,0.87895,0.45753,1.49058,0.000899597,0.000899597,0.000899597
95,120.897,0.65183,0.43974,1.29127,1,0.97003,0.99235,0.78536,0.87895,0.45753,1.49058,0.000891345,0.000891345,0.000891345
96,121.903,0.65197,0.44094,1.26988,0.97954,0.98064,0.99201,0.78877,0.84455,0.44888,1.47211,0.000883093,0.000883093,0.000883093
97,122.878,0.6466,0.4475,1.21986,0.97954,0.98064,0.99201,0.78877,0.84455,0.44888,1.47211,0.000874842,0.000874842,0.000874842
98,123.895,0.6792,0.45953,1.23006,0.95965,0.97723,0.99213,0.7918,0.81589,0.43928,1.50127,0.00086659,0.00086659,0.00086659
99,125.297,0.66714,0.44988,1.30839,0.95965,0.97723,0.99213,0.7918,0.81589,0.43928,1.50127,0.000858338,0.000858338,0.000858338
100,126.524,0.64997,0.45262,1.31538,0.99024,0.94508,0.99186,0.80073,0.81881,0.4339,1.51255,0.000850087,0.000850087,0.000850087
101,127.742,0.60709,0.42269,1.25239,0.99024,0.94508,0.99186,0.80073,0.81881,0.4339,1.51255,0.000841835,0.000841835,0.000841835
102,129.093,0.62937,0.42532,1.21689,0.99414,0.94684,0.99186,0.80377,0.81567,0.43684,1.48673,0.000833583,0.000833583,0.000833583
103,130.33,0.62013,0.4071,1.2267,0.99414,0.94684,0.99186,0.80377,0.81567,0.43684,1.48673,0.000825332,0.000825332,0.000825332
104,131.403,0.60586,0.42711,1.20373,0.99538,0.95401,0.99344,0.80602,0.80559,0.43419,1.47545,0.00081708,0.00081708,0.00081708
105,132.631,0.627,0.42735,1.27103,0.99538,0.95401,0.99344,0.80602,0.80559,0.43419,1.47545,0.000808828,0.000808828,0.000808828
106,134.233,0.61569,0.43021,1.21148,0.99523,0.94958,0.99247,0.79716,0.81539,0.43028,1.48394,0.000800577,0.000800577,0.000800577
107,135.565,0.62283,0.43238,1.21706,0.99523,0.94958,0.99247,0.79716,0.81539,0.43028,1.48394,0.000792325,0.000792325,0.000792325
108,137.142,0.60396,0.41582,1.25938,0.99623,0.95476,0.9925,0.79132,0.82826,0.42494,1.49357,0.000784073,0.000784073,0.000784073
109,138.341,0.66735,0.43942,1.29779,0.99623,0.95476,0.9925,0.79132,0.82826,0.42494,1.49357,0.000775822,0.000775822,0.000775822
110,139.489,0.63933,0.44065,1.32985,0.99037,0.96394,0.99299,0.80464,0.8189,0.41731,1.4906,0.00076757,0.00076757,0.00076757
111,140.675,0.59022,0.40273,1.18022,0.99037,0.96394,0.99299,0.80464,0.8189,0.41731,1.4906,0.000759318,0.000759318,0.000759318
112,142.073,0.59035,0.41808,1.19838,0.99198,0.96518,0.99299,0.80165,0.81808,0.41496,1.51163,0.000751067,0.000751067,0.000751067
113,143.198,0.60273,0.42144,1.25303,0.99198,0.96518,0.99299,0.80165,0.81808,0.41496,1.51163,0.000742815,0.000742815,0.000742815
114,144.181,0.60345,0.41293,1.29189,0.99731,0.97711,0.99355,0.79897,0.81481,0.40933,1.50846,0.000734564,0.000734564,0.000734564
115,145.208,0.62071,0.42763,1.28122,0.99731,0.97711,0.99355,0.79897,0.81481,0.40933,1.50846,0.000726312,0.000726312,0.000726312
116,146.423,0.60859,0.41414,1.3211,0.99772,0.97986,0.99355,0.79976,0.81149,0.4037,1.46346,0.00071806,0.00071806,0.00071806
117,147.498,0.61082,0.40845,1.24454,0.99772,0.97986,0.99355,0.79976,0.81149,0.4037,1.46346,0.000709809,0.000709809,0.000709809
118,148.631,0.59458,0.41259,1.20434,0.99677,0.97981,0.99355,0.8002,0.82297,0.40584,1.4468,0.000701557,0.000701557,0.000701557
119,149.926,0.61082,0.40227,1.19512,0.99677,0.97981,0.99355,0.8002,0.82297,0.40584,1.4468,0.000693305,0.000693305,0.000693305
120,151.016,0.62554,0.4119,1.18676,0.99263,0.96744,0.99326,0.79793,0.81937,0.40539,1.46729,0.000685054,0.000685054,0.000685054
121,152.181,0.63663,0.43147,1.22388,0.99263,0.96744,0.99326,0.79793,0.81937,0.40539,1.46729,0.000676802,0.000676802,0.000676802
122,153.173,0.61331,0.40818,1.24245,0.99268,0.96744,0.9942,0.79779,0.81364,0.40786,1.48045,0.00066855,0.00066855,0.00066855
123,154.3,0.59833,0.4136,1.19006,0.99268,0.96744,0.9942,0.79779,0.81364,0.40786,1.48045,0.000660299,0.000660299,0.000660299
124,155.704,0.56685,0.40563,1.2428,0.9923,0.96744,0.9942,0.79331,0.81151,0.40771,1.48341,0.000652047,0.000652047,0.000652047
